ClusterID,AvgLat,AvgLon,WBVolume2019,VIIRSVolume
1,28.446399,9.133541,54.975527,0.055929
2,28.525363,9.126921,64.933826,0.136769
3,28.466454,9.056345,51.366282,0.067404
4,32.277074,3.987075,77.283807,0.061377
5,35.810560,-0.255442,124.818838,0.251817
6,35.801221,-0.198604,30.666503,0.053930
7,28.629868,9.786281,65.272119,0.089151
8,28.736088,9.789249,375.222334,0.141232
9,28.684313,7.193942,330.828857,0.110021
10,28.709363,9.036122,75.551393,0.033877
11,27.147246,8.806323,17.238782,0.002923
12,31.056360,8.030159,99.750887,0.100539
13,31.089320,8.030870,0.549852,0.001205
14,31.750548,5.227046,34.453377,0.047953
15,32.521522,6.698553,102.518288,0.030244
16,30.826391,8.029533,13.606789,0.033554
17,31.783309,8.586742,1.545876,0.014718
18,31.231991,8.563008,60.662377,0.102355
19,27.729303,9.917141,28.928849,0.061525
20,27.634865,9.874925,16.232786,0.035701
21,27.672364,9.880999,20.916361,0.054022
22,27.710446,9.882842,22.138708,0.045908
23,27.751919,9.889892,5.785212,0.026922
24,27.414848,8.835303,2.624581,0.003277
25,30.784292,5.509100,54.958502,0.000223
26,30.760621,5.453063,57.059003,0.000464
27,31.648269,9.171002,7.381135,0.014166
28,30.971740,5.757081,50.436673,0.036389
29,30.253098,8.084629,70.578114,0.066161
30,28.150472,8.969633,28.142629,0.026065
31,30.407512,6.542918,25.478698,0.144795
32,30.474874,6.473588,29.814429,0.095835
33,31.960987,5.216207,33.211745,0.075836
34,28.730875,9.154482,40.796561,0.019987
35,29.265723,6.491395,62.535099,0.054870
36,31.847668,5.055013,97.067436,0.068190
37,31.461186,5.938997,77.304061,0.068536
38,27.798566,0.462914,50.014870,0.001412
39,31.651155,6.060513,260.216400,0.340804
40,31.628277,6.067532,10.356736,0.289360
41,31.590205,5.957961,291.111606,0.328610
42,31.848519,6.046974,83.055488,0.232800
43,31.755118,6.143020,21.178424,0.055574
44,31.638494,5.987073,87.752114,0.130887
45,31.688470,5.956213,63.360652,0.066815
46,31.864469,6.167772,2.847382,0.302406
47,31.689255,5.806096,249.683663,0.071100
48,31.682622,6.190203,73.767905,0.119084
49,31.639986,6.120411,10.255812,0.011044
50,31.881449,5.981378,13.697519,0.008942
51,31.809398,6.147858,53.876888,0.024627
52,31.723174,6.162184,2.257783,0.000399
53,31.757906,5.938817,9.874613,0.000523
54,31.706712,5.906036,1.198236,0.001299
55,31.827581,6.218623,300.950438,0.000187
56,32.940296,3.232264,121.721020,0.115689
57,33.126282,3.318527,93.627264,0.106818
58,32.745237,3.182772,83.380425,0.078394
59,33.066899,3.331785,80.410782,0.080644
60,32.837567,3.239726,56.295532,0.071482
61,32.905822,3.372909,17.405067,0.021869
62,33.020836,3.217395,12.712711,0.006793
63,32.554148,3.166620,53.606210,0.031957
64,28.148394,-0.135142,11.133564,0.007927
65,31.013525,8.164899,134.652778,0.188879
66,27.181146,2.511209,3.152395,0.000795
67,29.086361,2.214243,16.627007,0.006512
68,27.924794,9.250173,82.750216,0.051410
69,30.180319,7.688993,19.209689,0.045925
70,29.108832,9.666611,12.279505,0.030323
71,31.181500,6.785227,25.155051,0.118512
72,30.389017,7.906391,26.702864,0.033515
73,27.926864,9.105927,46.557674,0.050257
74,33.873007,2.659925,25.437075,0.014777
75,32.173573,4.744774,11.063175,0.004997
76,35.211950,1.378404,6.157144,0.005466
77,29.748090,6.594858,6.311189,0.006908
78,28.212159,-0.158307,13.956177,0.005965
79,27.782205,0.631308,18.357895,0.028018
80,28.722148,7.521325,19.937145,0.016792
81,27.530068,9.619189,32.647287,0.000811
82,28.708049,8.945226,50.641263,0.047221
83,32.402057,4.005832,85.378778,0.089530
84,30.662655,8.102428,82.235952,0.073004
85,32.134473,6.469612,140.203724,0.091455
86,31.395648,6.935608,91.011325,0.087912
87,30.611484,8.262152,59.885991,0.094363
88,29.694124,6.704875,146.907215,0.238301
89,29.670215,6.724614,19.322287,0.084152
90,31.178583,8.104821,20.335846,0.032161
91,28.917574,9.746899,39.674982,0.089728
92,27.762016,9.193269,105.071705,0.133034
93,27.739134,9.162609,51.777811,0.038280
94,27.701340,9.174272,41.034907,0.024619
95,28.576557,7.655127,53.484395,0.069587
96,28.618422,7.708100,116.607434,0.125079
97,28.637672,7.614689,68.668408,0.072057
98,28.635905,7.536820,125.351693,0.095072
99,28.650985,7.684998,49.797952,0.094702
100,28.474258,7.511846,11.093022,0.031074
101,28.611745,7.504542,29.010744,0.017622
102,28.414060,7.544105,17.045551,0.014818
103,28.431676,7.513840,28.741959,0.001898
104,28.081453,9.784061,116.830224,0.145600
105,28.134190,9.812174,2.414475,0.000042
106,28.190386,9.804585,61.942168,0.073670
107,30.882092,5.639239,29.378229,0.027357
